Attraction,Location
US Space and Rocket Center,Huntsville AL
Gulf Coast tour,Mobile AL
Alcatraz,San Francisco CA
Red Rocks Ampitheater,Denver CO
Louis Lunch,New Haven CT
Dogfish Head Brewery,Rehoboth Beach DE
Disney World,Orlando FL
Georgia Aquarium,Atlanta GA
Wrigley Field,Chicago IL
Indianapolis Motor Speedway,Indianapolis IN
The Field of Dreams Filming Locale,Dyersville IA
Boot Hill,Dodge City KS
Bourbon Street,New Orleans LA
USS Constitution,Boston MA
Paul Bunyon and Babe the Blue Ox,Bemidji MN
Vicksburg National Military Park,Vicksburg MS
Gateway Arch,St. Louis MO
Las Vegas Strip,Las Vegas NV
Atlantic City Boardwalk,Atlantic City NJ
Statue of Liberty,New York NY
Biltmore,Asheville NC
Cedar Point,Sandusky OH
National Cowboy and Wesern Heritage Museum,Oklahoma City OK
Gettysburg National Military Park,Gettysburg PA
Newport mansions,Newport RI
Historic Charleston,Charleston SC
Plymouth Rock,Plymouth MA
Mount Rushmore,Keystone SD
The Alamo Mission,San Antonio TX
The Liberty Bell,Philadelphia PA
Graceland,Memphis TN
Ben and Jerrys Factory,Waterbury VT
Colonial Williamsburg,Williamsburg VA
Pike Place Market,Seattle WA
Bridge Day,Fayetteville WV
House on the Rock,Spring Green WI
Crystal Bridges Museum of American Art,Bentonville AR
USS Midway Museum,San Diego CA
Mystic Seaport,Mystic CT
Hop-on Hop-off Tour,Washington DC
Speedboat sightseeing,Miami FL
Savannah trolley tour,Savannah GA
Historic Downtown Boise Food and Cultural Center,Boise ID
Chicago Architecture Foundation River Cruise,Chicago IL
Massachusetts Avenue Food Tour,Indianapolis IN
Thoroughbred Heritage Horse Farm,Lexington KY
French Quarter Ghost and Vampire Tour,New Orleans LA
Portland City Tour,Portland ME
Annapolis City Tour,Annapolis MD
Boston Old Town Trolley Tour,Boston MA
Detroit City Tour,Detroit MI
Historic Northeast Minneapolis Food Tour,Minneapolis MN
Tupelo Automobile Museum,Tupelo MS
The Haygoods Show,Branson MO
The High Roller Wheel,Las Vegas NV
Whale and Dolphin Watching on the Delaware Bay,Reeds Beach NJ
Albuquerque Sunrise Balloon Rides,Albuquerque NM
The Empire State Building,New York NY
Comedy Tour of Charlotte,Charlotte NC
Cincinnati Zoo and Botanical Garden,Cincinnati OH
Oklahoma City National Memorial and Museum,Oklahoma City OK
Philadelphia Bus Tour,Philadelphia PA
Nashville Walking Tour,Nashville TN
Best of Austin Tour,Austin TX
Burlington Brewery Tour,Burlington VT
Chihuly Garden and Glass,Seattle WA
Space Needle,Seattle WA
Milwaukee City Tour,Milwaukee WI
Birmingham Civil Rights Institute,Birmingham AL
Family Vacation,Gulf Shores AL
Musical Instrument Museum,Phoenix AZ
Mark Twain House and Museum,Hartford CT
Funland,Rehoboth Beach DE
Cape May-Lewes Ferry,Lewes DE
Dry Tortugas National Park,Key West FL
Martin Luther King Jr. National Historic Site,Atlanta GA
Cloud Gate,Chicago IL
Lincoln Home National Historic Site,Springfield IL
Childrens Museum of Indianapolis,Indianapolis IN
Holiday World & Splashinâ€™ Safari,Santa Claus IN
Iowa State Fair,Des Moines IA
OZ Museum,Wamego KS
Overland Park Arboretum and Botanical Gardens,Overland Park KS
Louisville Slugger Museum & Factory,Louisville KY
Kentucky Derby Museum,Louisville KY
Steamboat Natchez,New Orleans LA
Blaine Kerns Mardi Gras World,New Orleans LA
Marginal Way,Ogunquit ME
National Aquarium,Baltimore MD
Freedom Trail,Boston MA
The House of Seven Gables,Salem MA
Ford Piquette Plant Tour,Detroit MI
Mall of America,Minneapolis MN
Lutsen Mountains,Duluth MN
Elvis Presley Birthplace and Museum,Tupelo MS
Gulf Islands Water Park,Gulfport MS
Silver Dollar City,Branson MO
Montana Snowbowl,Missoula MT
Lincoln Childrens Museum,Lincoln NE
Wright Brothers National Memorial,Kill Devil Hills NC
Blue Ridge Parkway,Asheville NC
Fargo Air Museum,Fargo ND
Rock and Roll Hall of Fame,Cleveland OH
The Cave House,Tulsa OK
Woody Guthrie Center,Tulsa OK
Haystack Rock,Seaside OR
Hershey Park,Hershey PA
Duquesne Incline,Pittsburgh PA
Newport Ocean Drive,Newport RI
Country Music Hall of Fame and Museum,Nashville TN
Sea Turtle Inc,South Padre Island TX
Vermont Teddy Bear Company,Lake Champlain VT
U.S. Mailboat Tour,Lake Geneva WI
Peninsula State Park,Door County WI
National Elk Refuge,Jackson Hole WY
Assateague Island National Seashore,Assateague Island MD
Harpers Ferry National Historic Park,Harpers Ferry WV
Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes MI
Theodore Roosevelt National Park,Medora ND
Bison Range,Charlo MT
Coeur d'Alene Lake,Coeur d'Alene ID
West Okojobi Lake,West Okojobi Lake IA
Craters of the Moon National Monument and Preserve,Craters of the Moon ID
Hilton Head,Hilton Head SC
Niagra Falls,Niagra Falls NY
Myrtle Beach,Myrtle Beach SC
White Mountain Tour on an Aerial Tram,Livermore NH
Mesa Arch,Moab UT
National Dinosaur Monument,Jensen UT
Monumnt Valley Safari,Oljato-Monument Valley UT
Zion National Park,Springdale UT
Grand Canyon,Grand Canyon AZ
Carlsbad Caverns,Carlsbad NM
Big Bend National Park,Big Bend TX
Crater of Diamonds State Park,Crater of Diamonds AR
Hot Springs National Park,Hot Springs AR
Acadia National Park,Acadia National Park ME
US Naval Academy,Annapolis MD
Mount Washington,Sargent's Purchase NH
Dollywood,Pigeon Forge TN
Cape Flattery,Cape Flattery WA
Point Reyes National Seashore,Point Reyes Station CA
